Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2021-11-15,0.0,1.15,0.0,1.413,0.0,1.6209999999999998,2.268,2.614,2.716
2021-11-22,0.0,1.1780000000000002,0.0,1.443,0.0,1.628,1.7564,2.172,2.824
2021-11-29,0.0,1.164,0.0,1.4489999999999998,0.0,1.636,5.659,4.661,2.47
2021-12-06,0.0,1.155,0.0,1.443,0.0,1.643,6.65,5.3373333333333335,2.3946
2021-12-14,0.0,1.125,0.0,1.428,0.0,1.649,8.3785,6.453333333333333,3.3282
2022-01-03,0.0,1.075,0.0,1.269,0.0,1.6,4.8288,4.864,4.5178
2022-01-10,0.0,0.9690000000000001,0.0,1.121,0.0,1.468,4.7404,4.996,4.98
2022-01-17,0.0,0.8750000000000001,0.0,1.097,0.0,1.415,5.4998,5.2752,4.76
2022-01-24,0.0,0.6930000000000001,0.0,1.077,0.0,1.41,5.5952,5.5714,4.1064
2022-01-31,0.0,0.6910000000000001,0.0,1.023,0.0,1.4080000000000001,3.4404,4.8,3.7138
2022-02-07,0.0,0.7100000000000001,0.0,1.022,0.0,1.4080000000000001,2.946,4.292,3.512
2022-02-14,0.0,0.8099999999999999,0.0,1.0659999999999998,0.0,1.4749999999999999,2.714,2.958,2.5748
2022-02-21,0.0,0.899,0.0,1.157,0.0,1.568,2.6628,2.298,2.2236
2022-02-28,100.0,,100.0,,100.0,,1.214,1.1304,1.364
2022-03-07,100.0,,100.0,,100.0,,1.522,1.2918,1.433
2022-03-14,39.26,1.3050000000000002,40.0,1.458,38.0,1.7340000000000002,1.7918,1.444,1.434
2022-03-21,2.68,1.536,0.0,1.6070000000000002,19.400000000000002,1.7919999999999998,1.8948,1.748,1.54
2022-03-28,0.0,1.587,0.0,,100.0,0.0,3.5604,1.88,1.7204
2022-04-04,0.0,1.38,0.0,1.781,0.0,1.883,5.87,2.834,2.2144
2022-04-11,0.0,1.25,-40.0,1.555,0.0,1.857,6.5468,5.5,2.204
2022-04-18,-40.0,1.2229999999999999,0.0,1.568,0.0,1.8769999999999998,5.246,3.17,2.3908
2022-04-25,0.0,1.1400000000000001,0.0,1.558,0.0,1.9009999999999998,3.44,2.688,1.0
2022-05-02,0.0,1.272,0.0,1.635,43.35573379579449,1.933,2.1072,1.7164,0.9226
2022-05-10,0.0,1.5310000000000001,100.0,0.0,100.0,0.0,1.8018,1.28,0.915
2022-05-16,100.0,,100.0,0.0,100.0,0.0,2.6608,1.4654,0.58
2022-05-23,0.0,1.675,30.0,1.892,100.0,0.0,4.3258,2.1192,0.864
2022-05-30,0.0,1.46,0.0,1.812,100.0,0.0,4.4682,2.991,1.116
