Date,ISIN,Maturity Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Volume awarded,182-day Volume awarded,364-day Volume awarded,91-day Tenders per tenor,182-day Tenders per tenor,364-day Tenders per Tenor,91-day Total offers,182-day Total Offers,364-day Total offers,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2017-11-27,PIBL1217C048,2018-02-28,100,,100,,100,,0,0,0,3995.0,3466.0,3021.0,8000.0,6000.0,6000.0,0.499375,0.5776666666666667,0.5035
2017-12-11,PIBL1217C056,2018-03-14,100,,100,,100,,0,0,0,2975.0,2325.0,2276.0,8000.0,6000.0,6000.0,0.371875,0.3875,0.37933333333333336
2018-01-15,PIBL0318A010,2018-04-18,0,2.233,0,2.519,0,2.849,9000,6000,5000,22835.0,13930.0,13350.0,9000.0,6000.0,5000.0,2.5372222222222223,2.3216666666666668,2.67
2018-01-29,PIBL0318A029,2018-05-02,0,2.321,23.083333333333332,2.577,42.94,2.9250000000000003,9000,4615,2853,18720.0,6965.0,5853.0,9000.0,6000.0,5000.0,2.08,1.1608333333333334,1.1706
2018-02-12,PIBL0617K130,2018-05-16,17.844444444444445,2.67,13.516666666666666,2.854,58.91472868217055,3.04,7394,5189,1590,13024.0,6069.0,3870.0,9000.0,6000.0,5000.0,1.447111111111111,1.0115,0.774
2018-02-26,PIBL0318B037,2018-05-30,100,,100,,100,,0,0,0,13328.0,3810.0,4190.0,9000.0,6000.0,5000.0,1.480888888888889,0.635,0.838
2018-03-12,PIBL0318C045,2018-06-13,13.633333333333333,3.024,41.41666666666667,3.1649999999999996,50.19815059445178,3.311,7773,3515,1885,16123.0,6715.0,3785.0,9000.0,6000.0,5000.0,1.7914444444444444,1.1191666666666666,0.757
2018-03-26,PIBL0318C054,2018-06-27,0,2.995,38.56702091189578,3.206,24.10122514561157,3.434,9000,3584,3779,16120.0,5834.0,4979.0,9000.0,6000.0,5000.0,1.791111111111111,0.9723333333333334,0.9958
2018-04-02,PIBL1217G124,2018-07-04,34.699999999999996,3.1910000000000003,100,,100,,3265,0,0,8725.0,2663.0,2243.0,5000.0,4000.0,6000.0,1.745,0.66575,0.37383333333333335
2018-04-10,PIBL0318D062,2018-01-11,0,3.3459999999999996,100,,100,,5000,0,0,8901.0,3130.0,2940.0,5000.0,4000.0,6000.0,1.7802,0.7825,0.49
2018-04-16,PIBL1217G133,2018-07-18,0,3.4930000000000003,37.53753753753754,3.6839999999999997,49.49053857350801,3.83,5000,2080,1735,11527.0,3330.0,3435.0,5000.0,4000.0,6000.0,2.3054,0.8325,0.5725
2018-04-23,PIBL0318D071,2018-07-25,0,3.5970000000000004,12.875,3.8890000000000002,43.40277777777778,3.9859999999999998,5000,3485,1630,10914.0,4085.0,2880.0,5000.0,4000.0,6000.0,2.1828,1.02125,0.48
2018-04-30,PIBL1217H141,2018-08-01,0,3.485,9.2,4.018999999999999,100,,5000,3632,0,15153.0,6357.0,2980.0,5000.0,4000.0,6000.0,3.0306,1.58925,0.49666666666666665
2018-05-07,PIBL0318E089,2018-08-08,0,3.4389999999999996,0,3.9579999999999997,100,,5000,4000,0,15145.0,10620.0,4580.0,5000.0,4000.0,6000.0,3.029,2.655,0.7633333333333333
2018-05-15,PIBL1217H150,2018-08-15,0,3.451,0,3.934,28.92561983471074,4.226,5000,4000,2236,15086.0,10492.0,3146.0,5000.0,4000.0,6000.0,3.0172,2.623,0.5243333333333333
2018-05-21,PIBL0318E096,2018-08-22,0,3.437,0,3.879,33.900000000000006,4.297,5000,4000,3966,16010.0,14060.0,8786.0,5000.0,4000.0,6000.0,3.202,3.515,1.4643333333333333
2018-05-28,PIBL1217H169,2018-08-29,0,3.3000000000000003,0,3.6999999999999997,0,4.198,5000,4000,6000,13800.0,13574.0,10535.0,5000.0,4000.0,6000.0,2.76,3.3935,1.7558333333333334
2018-06-04,PIBL0318F104,2018-09-05,0,3.2960000000000003,0,3.6769999999999996,29.349999999999998,4.2459999999999996,5000,4000,4239,12246.0,10576.0,6849.0,5000.0,4000.0,6000.0,2.4492,2.644,1.1415
2018-06-11,PIBL1217I172,2018-09-12,0,3.3230000000000004,0,3.714,43.85,4.324,5000,4000,3369,8920.0,7231.0,7839.0,5000.0,4000.0,6000.0,1.784,1.80775,1.3065
2018-06-18,PIBL0318F113,2018-09-19,100,,0,3.766,27.400000000000002,4.356999999999999,0,4000,4356,6520.0,7106.0,8733.0,5000.0,4000.0,6000.0,1.304,1.7765,1.4555
2018-06-25,PIBL1217I186,2018-09-26,28.299999999999997,3.4840000000000004,38.4,3.873,2.4833333333333334,4.429,3585,2464,5851,6718.0,5685.0,7851.0,5000.0,4000.0,6000.0,1.3436,1.42125,1.3085
2018-07-02,PIBL0318G121,2018-10-03,0,3.404,39.2,3.9370000000000003,32.85,4.566,4000,3040,4029,14438.0,5270.0,6804.0,4000.0,5000.0,6000.0,3.6095,1.054,1.134
2018-07-09,PIBL1217J194,2018-10-10,0,3.308,0,4.045,26.68333333333333,4.67,4000,5000,4399,15800.0,6139.0,8051.0,4000.0,5000.0,6000.0,3.95,1.2278,1.3418333333333334
2018-07-16,PIBL0618D029,2018-10-17,0,3.2910000000000004,31.52,4.185,22.05,4.7669999999999995,4000,3424,4677,13528.0,8086.0,6587.0,4000.0,5000.0,6000.0,3.382,1.6172,1.0978333333333334
2018-07-23,PIBL1217J201,2018-10-24,0,3.2190000000000003,0,4.234999999999999,0,4.809,4000,5000,6000,10431.0,8996.0,13489.0,4000.0,5000.0,6000.0,2.60775,1.7992,2.2481666666666666
2018-07-30,PIBL0618E037,2018-10-31,0,3.261,0,4.294,0,4.9,4000,5000,6000,9585.0,13054.0,13177.0,4000.0,5000.0,6000.0,2.39625,2.6108,2.1961666666666666
2018-08-06,PIBL0618E046,2018-11-07,0,3.29,0,4.186,0,4.899,4000,5000,6000,11355.0,17316.0,17712.0,4000.0,5000.0,6000.0,2.83875,3.4632,2.952
2018-08-13,PIBL1217K218,2018-11-14,0,3.2439999999999998,0,4.117,0,4.8919999999999995,4000,5000,6000,11665.0,20910.0,16831.0,4000.0,5000.0,6000.0,2.91625,4.182,2.8051666666666666
2018-08-20,PIBL0618E053,2018-11-21,0,3.2030000000000003,0,4.064,0,4.869,4000,5000,6000,12857.0,18428.0,12358.0,4000.0,5000.0,6000.0,3.21425,3.6856,2.0596666666666668
2018-08-27,PIBL1217K227,2018-11-28,0,3.218,0,4.07,0,4.879,4000,5000,6000,8135.0,12525.0,15039.0,4000.0,5000.0,6000.0,2.03375,2.505,2.5065
2018-09-03,PIBL0618F063,2018-12-05,0,3.225,0,4.101,0,4.899,4000,5000,6000,6225.0,11601.0,9635.0,4000.0,5000.0,6000.0,1.55625,2.3202,1.6058333333333332
2018-09-10,PIBL0618F072,2018-12-12,38.25,3.549,0,4.353,0,5.137,2470,5000,6000,5780.0,8075.0,8051.0,4000.0,5000.0,6000.0,1.445,1.615,1.3418333333333334
2018-09-17,PIBL0618F081,2018-12-19,100,,0,4.5969999999999995,34.483333333333334,5.4,0,5000,3931,5435.0,7304.0,7999.0,4000.0,5000.0,6000.0,1.35875,1.4608,1.3331666666666666
2018-09-24,PIBL0618F090,2018-12-26,100,,100,,100,,0,0,0,2991.0,4575.0,8401.0,4000.0,5000.0,6000.0,0.74775,0.915,1.4001666666666666
2018-10-01,PIBL0618G106,2019-01-02,100,,22.705314009661837,5.206,0,5.648000000000001,0,3200,6000,3090.0,4140.0,9821.0,4000.0,5000.0,6000.0,0.7725,0.828,1.6368333333333334
2018-10-08,PIBL0618G115,2019-01-09,0,4.404,29.04,5.684,0,5.883,4000,3548,6000,6086.0,5898.0,8102.0,4000.0,5000.0,6000.0,1.5215,1.1796,1.3503333333333334
2018-10-15,PIBL1218A011,2019-01-16,100,,26.96,5.894,43.704824340225244,6.256,0,3652,3349,5160.0,6752.0,5949.0,4000.0,5000.0,6000.0,1.29,1.3504,0.9915
2018-10-22,PIBL0618G124,2019-01-23,0,4.952,0,6.059,0,6.489000000000001,4000,5000,6000,7317.0,7343.0,9850.0,4000.0,5000.0,6000.0,1.82925,1.4686,1.6416666666666666
2018-10-29,PIBL1218A020,2019-01-30,0,4.979,0,6.159,0,6.41,4000,5000,6000,5936.0,7534.0,13515.0,4000.0,5000.0,6000.0,1.484,1.5068,2.2525
2018-11-05,PIBL0618H132,2019-02-06,0,5.077,0,6.2330000000000005,0,6.506,4000,5000,6000,4670.0,9032.0,9244.0,4000.0,5000.0,6000.0,1.1675,1.8064,1.5406666666666666
2018-11-12,PIBL1218B038,2019-02-13,0,5.172000000000001,0,6.245,0,6.521000000000001,4000,5000,6000,6860.0,10278.0,11503.0,4000.0,5000.0,6000.0,1.715,2.0556,1.9171666666666667
2018-11-19,PIBL0618H141,2019-02-20,0,5.295,0,6.279999999999999,0,6.529999999999999,4000,5000,6000,4740.0,11928.0,13612.0,4000.0,5000.0,6000.0,1.185,2.3856,2.268666666666667
2018-11-26,PIBL0618H150,2019-02-27,100,,0,6.294,0,6.550000000000001,0,5000,6000,3131.0,16203.0,9945.0,4000.0,5000.0,6000.0,0.78275,3.2406,1.6575
2018-12-03,PIBL0618I168,2019-03-06,0,5.394,0,6.305,0,6.507000000000001,4000,5000,6000,6805.0,12998.0,15780.0,4000.0,5000.0,6000.0,1.70125,2.5996,2.63
2018-12-10,PIBL1218C056,2019-03-13,0,5.35,0,6.343999999999999,0,6.585000000000001,4000,5000,6000,7650.0,8525.0,7374.0,4000.0,5000.0,6000.0,1.9125,1.705,1.229
2018-12-17,PIBL0618I177,2019-03-20,0,5.323,100,,100,,4000,0,0,6575.0,5884.0,6855.0,4000.0,5000.0,6000.0,1.64375,1.1768,1.1425
