"Auction Date","Tenor (in years)","Bid-to-Cover","WAIR","Rejection Rates"
2023-03-28,7,1.87456,"6.1620000000000001E-2",0
2023-04-04,7,2.03916,"5.883E-2",0
2023-04-12,10,1.77968,"6.1420000000000002E-2",0
2023-04-18,13,1.95076,"6.2399999999999997E-2",0.221
2023-04-25,7,2.47388,"6.012E-2",0
2023-05-03,10,2.47172,"5.9249999999999997E-2",0
2023-05-09,10,2.66876,"5.7320000000000003E-2",0
2023-05-16,13,2.73616,"5.8540000000000002E-2",0
2023-05-23,7,1.225,"5.774E-2",0
2023-05-30,10,2.99372,"5.9580000000000001E-2",0
2023-06-06,10,1.66968,"5.8049999999999997E-2",0
2023-06-14,20,2.0682,"6.0850000000000001E-2",0
2023-06-20,7,1.46556,"6.0970000000000003E-2",0
2023-06-27,10,1.9492,"6.2429999999999999E-2",0
2023-07-04,10,1.7599,"6.5619999999999998E-2",0.2138
2023-07-11,15,1.58336666666667,"6.9709999999999994E-2",0
2023-07-18,7,1.92626666666667,"6.2990000000000004E-2",0
2023-07-26,7,1.83723333333333,"6.3280000000000003E-2",0.173566666666667
2023-08-01,10,1.5929,"6.3369999999999996E-2",0.113133333333333
2023-08-08,7,1.4458,"6.4680000000000001E-2",0.212366666666667
2023-08-15,10,2.22746666666667,"6.5579999999999999E-2",0
2023-08-23,20,1.17673333333333,NA,1
2023-08-30,10,1.81806666666667,"6.2199999999999998E-2",0
2023-09-05,3,0.966233333333333,"6.2219999999999998E-2",0.269086142063684
2023-09-12,7,1.9264,"6.3700000000000007E-2",0.670766666666667
2023-09-19,10,2.22396666666667,"6.4199999999999993E-2",0
2023-09-26,3,0.921433333333333,NA,1
2023-09-27,5.5,3.181,"5.509E-2",-2.056
2023-10-10,10,1.36093333333333,"6.5119999999999997E-2",0
2023-10-17,7,1.53526666666667,"6.6750000000000004E-2",0
2023-10-24,10,1.62906666666667,"6.9540000000000005E-2",0
2023-10-31,10,0.896633333333333,NA,1
2023-11-07,7,2.02963333333333,"6.8070000000000006E-2",0
2023-11-14,10,2.1976,"6.7809999999999995E-2",0
2023-11-21,20,3.56515,"6.5930000000000002E-2",0
2023-11-29,7,3.0133,"6.0990000000000003E-2",0
2023-12-05,10,2.03255,"6.2239999999999997E-2",0
2024-01-03,3,1.77596666666667,"5.8999999999999997E-2",0
2024-01-09,5,2.47763333333333,"6.0729999999999999E-2",0
2024-01-16,7,3.56983333333333,"6.0940000000000001E-2",0
2024-01-23,10,3.40776666666667,"6.2179999999999999E-2",0
2024-01-30,3,2.08113333333333,"6.0069999999999998E-2",0
2024-02-06,5,1.78086666666667,NA,1
2024-02-13,5,9.09026666666667,"6.1559999999999997E-2",-6.09063333333333
2024-02-27,20,3.04743333333333,"6.2089999999999999E-2",0
2024-03-05,7,1.66873333333333,"6.2700000000000006E-2",0
2024-03-12,10,3.20236666666667,"6.2269999999999999E-2",0
2024-03-19,20,2.03153333333333,"6.1890000000000001E-2",0
2024-03-26,7,1.55003333333333,"6.2370000000000002E-2",0
2024-04-02,7,1.34156666666667,"6.2990000000000004E-2",0
2024-04-08,10,1.24533333333333,"6.4390000000000003E-2",0.3125
2024-04-16,20,1.25183333333333,NA,1
2024-04-23,20,1.16423333333333,"7.0169999999999996E-2",0.445566666666667
2024-04-30,20,1.22806666666667,"7.0580000000000004E-2",0.0841333333333333
2024-05-07,10,2.37466666666667,"6.8250000000000005E-2",0
2024-05-14,20,1.22343333333333,"6.9500000000000006E-2",0.616333333333333
2024-05-21,20,1.26396666666667,"6.7970000000000003E-2",0.242766666666667
2024-05-28,3,2.37996666666667,"6.3469999999999999E-2",0
2024-06-04,7,1.9029,"6.6239999999999993E-2",0
2024-06-11,10,1.77103333333333,"6.7540000000000003E-2",0.125833333333333
